Year,Identity,Population,Citizen,Registered,RegisteredPct,NotRegisteres,NotRegisteredPct,NoResponeToRegistration,NoResponseToRegistrationPct,Voted,VotedPct,NotVoted,NotVotedPct,NoResponseVoted,NoResponseVotedPct,RegisteredPctOfAll,VotedPctOfAll
2010,M18To24L9,303,132,20,14.9,49,37.3,63,47.8,9,6.7,65,49.2,58,44.1,6.5,2.9
2010,M18To24L12,"2,266","1,959",400,20.4,"1,115",56.9,444,22.7,179,9.1,"1,367",69.8,413,21.1,17.6,7.9
2010,M18To24HS,"4,986","4,657","1,731",37.2,"1,797",38.6,"1,128",24.2,720,15.5,"2,977",63.9,961,20.6,34.7,14.4
2010,M18To24SC,"5,843","5,499","3,023",55.0,"1,367",24.9,"1,109",20.2,"1,453",26.4,"2,916",53.0,"1,129",20.5,51.7,24.9
2010,M18To24BA,"1,121","1,063",632,59.5,206,19.4,225,21.1,344,32.4,495,46.5,224,21.1,56.4,30.7
2010,M18To24AD,65,53,30,0.0,7,0.0,16,0.0,25,0.0,12,0.0,16,0.0,0.0,0.0
2010,F18To24L9,228,123,13,10.6,61,49.8,49,39.6,5,4.0,69,56.4,49,39.6,5.7,2.2
2010,F18To24L12,"1,767","1,562",379,24.3,840,53.8,343,22.0,140,8.9,"1,115",71.4,308,19.7,21.4,7.9
2010,F18To24HS,"4,076","3,779","1,337",35.4,"1,519",40.2,924,24.4,532,14.1,"2,398",63.5,849,22.5,32.8,13.0
2010,F18To24SC,"6,417","6,124","3,351",54.7,"1,668",27.2,"1,106",18.1,"1,681",27.4,"3,420",55.8,"1,024",16.7,52.2,26.2
2010,F18To24BA,"1,727","1,642","1,103",67.1,265,16.2,274,16.7,562,34.2,800,48.7,280,17.1,63.8,32.6
2010,F18To24AD,126,126,78,61.5,27,21.7,21,16.7,34,26.6,65,51.4,28,21.9,61.5,26.6
2010,M25To44L9,"1,810",542,159,29.4,243,44.8,140,25.8,79,14.5,333,61.5,130,24.0,8.8,4.4
2010,M25To44L12,"3,079","2,182",768,35.2,949,43.5,465,21.3,294,13.5,"1,479",67.8,408,18.7,25.0,9.6
2010,M25To44HS,"12,450","10,770","5,262",48.9,"3,312",30.8,"2,196",20.4,"2,659",24.7,"6,101",56.7,"2,009",18.7,42.3,21.4
2010,M25To44SC,"10,718","10,109","6,435",63.7,"1,958",19.4,"1,716",17.0,"3,717",36.8,"4,715",46.6,"1,677",16.6,60.0,34.7
2010,M25To44BA,"8,549","7,882","5,549",70.4,"1,073",13.6,"1,261",16.0,"3,790",48.1,"2,809",35.6,"1,284",16.3,64.9,44.3
2010,M25To44AD,"3,744","3,186","2,386",74.9,388,12.2,412,12.9,"1,759",55.2,"1,011",31.8,415,13.0,63.7,47.0
2010,F25To44L9,"1,305",413,100,24.2,176,42.6,137,33.2,60,14.6,216,52.2,137,33.2,7.7,4.6
2010,F25To44L12,"2,663","1,954",823,42.1,803,41.1,327,16.7,349,17.9,"1,294",66.2,310,15.9,30.9,13.1
2010,F25To44HS,"9,944","8,703","4,569",52.5,"2,441",28.1,"1,693",19.5,"2,292",26.3,"4,875",56.0,"1,537",17.7,45.9,23.0
2010,F25To44SC,"12,240","11,516","7,621",66.2,"1,998",17.3,"1,898",16.5,"4,398",38.2,"5,302",46.0,"1,817",15.8,62.3,35.9
2010,F25To44BA,"9,932","9,043","6,480",71.7,"1,113",12.3,"1,449",16.0,"4,365",48.3,"3,253",36.0,"1,425",15.8,65.2,43.9
2010,F25To44AD,"4,667","4,172","3,261",78.2,379,9.1,532,12.7,"2,360",56.6,"1,281",30.7,530,12.7,69.9,50.6
2010,M45To64L9,"1,671",988,382,38.7,414,41.9,191,19.4,247,25.0,563,57.0,177,17.9,22.9,14.8
2010,M45To64L12,"2,699","2,370","1,144",48.3,779,32.9,447,18.8,615,26.0,"1,329",56.1,425,17.9,42.4,22.8
2010,M45To64HS,"12,666","12,077","7,331",60.7,"2,555",21.2,"2,191",18.1,"5,189",43.0,"4,805",39.8,"2,083",17.2,57.9,41.0
2010,M45To64SC,"9,996","9,742","7,239",74.3,"1,157",11.9,"1,346",13.8,"5,695",58.5,"2,714",27.9,"1,332",13.7,72.4,57.0
2010,M45To64BA,"7,339","7,005","5,594",79.8,431,6.1,981,14.0,"4,787",68.3,"1,246",17.8,973,13.9,76.2,65.2
2010,M45To64AD,"4,895","4,658","3,810",81.8,215,4.6,633,13.6,"3,358",72.1,654,14.0,645,13.9,77.8,68.6
2010,F45To64L9,"1,799","1,046",418,40.0,405,38.7,223,21.3,217,20.8,619,59.2,210,20.0,23.2,12.1
2010,F45To64L12,"2,498","2,222","1,141",51.3,709,31.9,373,16.8,672,30.2,"1,219",54.9,331,14.9,45.7,26.9
2010,F45To64HS,"12,773","12,158","7,919",65.1,"2,136",17.6,"2,103",17.3,"5,589",46.0,"4,529",37.3,"2,040",16.8,62.0,43.8
2010,F45To64SC,"12,043","11,732","8,886",75.7,"1,084",9.2,"1,763",15.0,"6,715",57.2,"3,249",27.7,"1,768",15.1,73.8,55.8
2010,F45To64BA,"7,884","7,577","6,033",79.6,441,5.8,"1,103",14.6,"5,039",66.5,"1,429",18.9,"1,109",14.6,76.5,63.9
2010,F45To64AD,"4,436","4,290","3,604",84.0,166,3.9,520,12.1,"3,124",72.8,633,14.8,533,12.4,81.2,70.4
2010,M65To74L9,809,665,373,56.1,201,30.2,91,13.7,255,38.4,319,48.0,90,13.6,46.1,31.6
2010,M65To74L12,810,790,485,61.4,205,26.0,100,12.6,356,45.1,338,42.8,95,12.1,59.9,44.0
2010,M65To74HS,"3,143","3,068","2,227",72.6,377,12.3,464,15.1,"1,861",60.7,763,24.9,444,14.5,70.9,59.2
2010,M65To74SC,"2,134","2,102","1,600",76.1,157,7.5,345,16.4,"1,401",66.7,349,16.6,352,16.7,75.0,65.7
2010,M65To74BA,"1,493","1,458","1,168",80.1,61,4.2,229,15.7,"1,078",73.9,150,10.3,230,15.8,78.2,72.2
2010,M65To74AD,"1,499","1,477","1,265",85.7,37,2.5,175,11.8,"1,150",77.9,150,10.1,177,12.0,84.4,76.7
2010,F65To74L9,854,662,322,48.6,223,33.7,117,17.7,177,26.7,371,56.0,114,17.2,37.7,20.7
2010,F65To74L12,"1,022",979,616,62.9,243,24.8,120,12.2,417,42.6,447,45.7,114,11.7,60.3,40.8
2010,F65To74HS,"4,385","4,282","3,110",72.6,541,12.6,631,14.7,"2,437",56.9,"1,233",28.8,612,14.3,70.9,55.6
2010,F65To74SC,"2,714","2,653","2,129",80.3,192,7.2,332,12.5,"1,835",69.2,487,18.4,331,12.5,78.5,67.6
2010,F65To74BA,"1,471","1,437","1,179",82.0,41,2.8,218,15.2,"1,030",71.7,176,12.2,231,16.1,80.1,70.1
2010,F65To74AD,"1,033","1,032",872,84.5,29,2.8,132,12.8,790,76.6,104,10.0,138,13.4,84.3,76.5
2010,M75AndOverL9,943,876,536,61.1,205,23.3,136,15.5,336,38.4,433,49.4,107,12.3,56.8,35.6
2010,M75AndOverL12,730,706,544,77.1,92,13.1,70,9.9,370,52.4,268,38.0,68,9.6,74.5,50.6
2010,M75AndOverHS,"2,173","2,143","1,644",76.8,194,9.1,304,14.2,"1,351",63.1,491,22.9,301,14.0,75.7,62.2
2010,M75AndOverSC,"1,263","1,246",987,79.2,69,5.5,191,15.3,825,66.2,230,18.4,192,15.4,78.2,65.3
2010,M75AndOverBA,"1,123","1,106",940,85.0,33,3.0,133,12.0,864,78.1,111,10.0,131,11.8,83.7,76.9
2010,M75AndOverAD,780,771,672,87.1,22,2.8,77,10.0,627,81.2,65,8.4,80,10.4,86.1,80.3
2010,F75AndOverL9,"1,341","1,208",670,55.4,386,32.0,153,12.6,368,30.4,718,59.4,123,10.2,49.9,27.4
2010,F75AndOverL12,"1,240","1,209",787,65.1,262,21.6,160,13.3,519,43.0,538,44.5,152,12.6,63.5,41.9
2010,F75AndOverHS,"4,403","4,314","3,200",74.2,501,11.6,614,14.2,"2,386",55.3,"1,351",31.3,577,13.4,72.7,54.2
2010,F75AndOverSC,"1,953","1,931","1,545",80.0,138,7.1,248,12.8,"1,297",67.2,402,20.8,232,12.0,79.1,66.4
2010,F75AndOverBA,"1,065","1,056",896,84.8,42,3.9,119,11.2,785,74.3,167,15.9,104,9.8,84.2,73.8
2010,F75AndOverAD,586,573,487,85.0,22,3.8,65,11.3,420,73.2,88,15.3,66,11.5,83.2,71.7
2012,M18To24L9,270,146,10,6.9,84,57.6,52,35.5,0,0.0,97,66.3,49,33.7,3.7,-
2012,M18To24L12,"2,365","2,039",652,32.0,881,43.2,506,24.8,506,24.8,"1,043",51.1,491,24.1,27.6,21.4
2012,M18To24HS,"4,893","4,510","1,828",40.5,"1,748",38.8,934,20.7,"1,203",26.7,"2,494",55.3,814,18.0,37.4,24.6
2012,M18To24SC,"6,130","5,829","3,559",61.1,"1,313",22.5,956,16.4,"2,753",47.2,"2,185",37.5,890,15.3,58.1,44.9
2012,M18To24BA,"1,253","1,127",852,75.7,118,10.4,157,13.9,697,61.9,274,24.3,155,13.8,68.1,55.7
2012,M18To24AD,82,61,45,72.8,4,6.6,13,20.5,38,62.0,11,17.5,13,20.5,54.4,46.3
2012,F18To24L9,188,117,6,5.1,75,64.7,35,30.3,1,1.1,80,68.6,35,30.3,3.1,0.7
2012,F18To24L12,"1,887","1,650",566,34.3,585,35.4,499,30.3,411,24.9,769,46.6,469,28.4,30.0,21.8
2012,F18To24HS,"4,028","3,737","1,643",44.0,"1,359",36.4,735,19.7,"1,197",32.0,"1,875",50.2,664,17.8,40.8,29.7
2012,F18To24SC,"7,038","6,699","4,417",65.9,"1,391",20.8,892,13.3,"3,524",52.6,"2,259",33.7,916,13.7,62.8,50.1
2012,F18To24BA,"1,609","1,499","1,110",74.1,187,12.5,202,13.5,957,63.8,323,21.5,219,14.6,69.0,59.5
2012,F18To24AD,136,122,79,64.9,15,12.5,28,22.7,64,52.8,30,24.5,28,22.7,58.1,47.3
